Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,"Normalization of Lactulose Breath Testing Correlates With Symptom Improvement in Irritable Bowel Syndrome: A Double-Blind, Randomized, Placebo-Controlled Study",0,0,0,0,0,N,N,N,N,N,N
1,OBJECTIVE: We have recently found an association between abnormal lactulose breath test (LBT) findings and irritable bowel syndrome (IBS).,0,0,0,0,0,N,N,N,N,N,N
2,The current study was designed to test the effect of antibiotic treatment for IBS in a doubleblind fashion.,0,0,0,0,0,N,N,N,N,N,N
3,METHODS: Consecutive IBS subjects underwent an LBT with the results blinded.,0,0,0,0,0,N,N,N,N,N,N
4,All subjects were subsequently randomized into two treatment groups (neomycin or placebo).,0,0,0,0,0,N,N,N,N,N,N
5,The prevalence of abnormal LBT was compared with a gender-matched control group.,0,0,0,0,0,N,N,N,N,N,N
6,"Seven days after completion of treatment, subjects returned for repeat LBT.",0,0,0,0,0,N,N,N,N,N,N
7,A symptom questionnaire was administered on both days.,0,0,0,0,0,N,N,N,N,N,N
8,"RESULTS: After exclusion criteria were met, 111 IBS subjects (55 neomycin, 56 placebo) entered the study, with 84% having an abnormal LBT, compared with 20% in healthy controls (p  0.01).",0,0,0,0,0,N,N,N,N,N,N
9,"In an intention-to-treat analysis of all 111 subjects, neomycin resulted in a 35.0% improvement in a composite score, compared with 11.4% for placebo (p  0.05).",0,0,0,0,0,N,N,N,N,N,N
10,"Additionally, patients reported a percent bowel normalization of 35.3% after neomycin, compared with 13.9% for placebo (p  0.001).",0,0,0,0,0,N,N,N,N,N,N
11,"There was a graded response to treatment, such that the best outcome was observed if neomycin was successful in normalizing the LBT (75% improvement) (one-way ANOVA, p  0.0001).",0,0,0,0,0,N,N,N,N,N,N
12,"LBT gas production was associated with IBS subgroup, such that methane excretion was 100% associated with constipationpredominant IBS.",0,0,0,0,0,N,N,N,N,N,N
13,"Methane excretors had a mean constipation severity of 4.1, compared with 2.3 in all other subjects (p  0.001).",0,0,0,0,0,N,N,N,N,N,N
14,CONCLUSIONS: An abnormal LBT is common in subjects with IBS.,0,0,0,0,0,N,N,N,N,N,N
15,Normalization of LBT with neomycin leads to a significant reduction in IBS symptoms.,0,0,0,0,0,N,N,N,N,N,N
16,The type of gas seen on LBT is also associated with IBS subgroup.,0,0,0,0,0,N,N,N,N,N,N
17,(Am J Gastroenterol 2003;98:412– 419.,0,0,0,0,0,N,N,N,N,N,N
18,"Irritable bowel syndrome (IBS) is a common GI disorder, seen in more than 15% of the population.",0,0,0,0,0,N,N,N,N,N,N
19,"Despite this high prevalence and much research interest, the cause of IBS remains unknown.",0,0,0,0,0,N,N,N,N,N,N
20,"Over the last few years, progress has been made in characterizing IBS.",0,0,0,0,0,N,N,N,N,N,N
21,"Studies have demonstrated altered gut motility , peripheral and central sensory dysfunction, as well as an exaggerated response to stress in this syndrome.",0,0,0,0,0,N,N,N,N,N,N
22,"However, there is no finding that can be identified in a majority of patients, and by extension there is no diagnostic test that is associated with IBS.",0,0,0,0,0,N,N,N,N,N,N
23,"As a result, investigators have created complex diagnostic schema, such as the Rome criteria, to help diagnose and categorize the syndrome.",0,0,0,0,0,N,N,N,N,N,N
24,"One consistent clinical finding in IBS is gas in combination with bloating and visible distention (9, 10).",0,0,0,0,0,N,N,N,N,N,N
25,"recently found small intestinal gas to be significantly increased in IBS patients compared with control subjects (11), regardless of whether subjects conform to diarrhea, constipation, or pain subgroups.",0,0,0,0,0,N,N,N,N,N,N
26,Excessive small intestinal gas can occur as a result of increased production of gas within the gut by bacterial fermentation.,0,0,0,0,0,N,N,N,N,N,N
27,A condition known to produce excessive small bowel gas is small intestinal bacterial overgrowth (SIBO).,0,0,0,0,0,N,N,N,N,N,N
28,"We recently reported that 78% of subjects with IBS have a positive lactulose breath test (LBT), suggesting the presence of SIBO (12).",0,0,0,0,0,N,N,N,N,N,N
29,"Although provocative, this study had some intrinsic design issues, and the data do not account for how an abnormal breath test might produce the diarrhea and constipation in IBS.",0,0,0,0,0,N,N,N,N,N,N
30,Recent data suggest that children with encopresis have excessive breath methane on LBT (13).,0,0,0,0,0,N,N,N,N,N,N
31,This finding has not been extended to adults with constipation-predominant IBS.,0,0,0,0,0,N,N,N,N,N,N
32,"In this double-blind, randomized, placebo-controlled study, we test whether an abnormal LBT is more prevalent in IBS subjects than in normal control subjects, whether antibiotic treatment in IBS leads to an improvement in symptoms, and whether this is based on antibiotic-induced normalization of breath test.",0,0,0,0,0,N,N,N,N,N,N
33,"Secondly, LBT profiles are evaluated to determine if gaseous constituents vary between IBS subgroups.",0,0,0,0,0,N,N,N,N,N,N
34,"Study subjects were recruited by advertisements in local newspapers, radio, and IBS support groups throughout the greater Los Angeles area.",0,0,0,0,0,N,N,N,N,N,N
35,"To avoid referral bias, subjects were not recruited through the GI motility clinic or any gastroenterology practice based at Cedars-Sinai Medical Center.",0,0,0,0,0,N,N,N,N,N,N
36,Subjects were included if they met Rome I criteria for IBS.,1,0,0,0,0,N,N,N,N,N,N
37,"Rome I was chosen because it does not prejudice between diarrhea and constipation, and no peer-reviewed publications were available to validate Rome II as a diagnostic strategy.",1,0,0,0,0,N,N,N,N,N,N
