Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
5,Dry Eye Signs and Symptoms Persist During Systemic Neutralization of IL-1β by Canakinumab or IL-17A by Secukinumab,0,0,0,0,0,0,0,0,N,0,0
6,"Cynthia L. Grosskreutz, MD, PhD<sup>*</sup>, Hans-Ulrich Hockey, MSc<sup>†</sup>, Denise Serra, BSc<sup>*</sup>, Thaddeus P. Dryja, MD<sup>‡</sup><div class=""aff"" id=""aff1""><span class=""label"">*</span>.",0,0,0,0,0,0,0,0,N,0,0
7,"Translational Medicine, Novartis Institutes for Biomedical Research, Cambridge, MA;</div><div class=""aff"" id=""aff2""><span class=""label"">†</span>.",0,0,0,0,0,0,0,0,N,0,0
8,"Biometrics Matters Ltd, Hamilton, New Zealand; and</div><div class=""aff"" id=""aff3""><span class=""label"">‡</span>.",0,0,0,0,0,0,0,0,N,0,0
9,"Ophthalmology Research, Novartis Institutes for Biomedical Research, Cambridge, MA.",0,0,0,0,0,0,0,0,N,0,0
10,"Reprints: Thaddeus P. Dryja, MD, Global Head, Ophthalmology Research, Novartis Institutes for BioMedical Research, 500 Technology Square, Cambridge, MA 02139 (e-mail: thaddeus.dryja@novartis.com).",0,0,0,0,0,0,0,0,N,0,0
11,"Copyright</a> © 2015 Wolters Kluwer Health, Inc. All rights reserved.",0,0,0,0,0,0,0,0,N,0,0
12,DOI: 10.1097/ICO.0000000000000627,0,0,0,0,0,0,0,0,N,0,0
13,Published online: 29 September 2015,0,0,0,0,0,0,0,0,N,0,0
14,Published in print: December 2015,0,0,0,0,0,0,0,0,N,0,0
15,"To evaluate whether inhibition of the proinflammatory cytokines IL-1β or IL-17A by canakinumab or secukinumab, respectively, influence the signs and symptoms of dry eye.",0,0,0,0,0,0,0,0,N,0,0
16,"In a randomized, double-masked, placebo-controlled, outpatient clinical trial, 72 patients with moderate to severe dry eye were randomly assigned in a 1:1:1 ratio to treatment with a single intravenous dose of canakinumab, of secukinumab, or of placebo.",1,0,1,0,1,1,1,0,N,0,0
17,"Signs and symptoms of dry eye were evaluated on the treatment day and 1 week, 4 weeks, and 8 weeks after treatment.",1,0,1,0,1,1,1,0,N,0,0
18,The prespecified primary efficacy endpoint was corneal staining in the study eye 4 weeks after treatment.,1,0,1,0,1,1,1,0,N,0,0
19,"Secondary endpoints included tear production (Schirmer test), tear film breakup time, conjunctival redness, the ocular surface disease index (OSDI), the frequency of a desire for a topical ocular lubricant, and visual acuity.",1,0,1,0,1,1,1,0,N,0,0
20,"Of the 71 patients included in the analysis of safety, the rate of adverse events was similar between treatment groups.",0,0,0,0,0,0,0,0,N,0,0
21,"The course of corneal staining scores from baseline to 4 weeks, respectively, were for canakinumab 1.46 to 1.33 (<span class=""italic"">P</span> = 0.62 compared with placebo), for secukinumab 1.46 to 1.23 (<span class=""italic"">P</span> = 0.22), and for placebo 1.68 to 1.42.",0,0,0,0,0,0,0,0,N,0,0
22,There were no changes in the other measures of efficacy beyond what was within the range expected for stochastic day-to-day variation.,0,0,0,0,0,0,0,0,N,0,0
23,The results suggest that the inhibition of IL-1β or IL-17A obtained by systemic administration of neutralizing drugs does not influence the severity of dry eye.,0,0,0,0,0,0,0,0,N,0,0
