Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Section
0,To compare the in vivo precision of two commercially available point-of-care osmometers among normal subjects with no dry eye disease.,0,0,0,0,0,0,0,0,0,0,0,Purpose
1,Twenty healthy adults with healthy ocular surfaces were evaluated by licensed eye care practitioners.,0,0,0,0,0,0,0,0,0,0,0,Methods
2,"All subjects had low Ocular Surface Disease Index score (&lt;5), normal tear breakup time (&gt;10 seconds), and no evidence of corneal fluorescein staining.",0,0,0,0,0,0,0,0,0,0,0,
3,"Five consecutive measurements of tear osmolarity were measured on each eye using each of the two osmometers: the TearLab Osmolarity System (TearLab) and the I-Med i-Pen (i-Pen), for a total of 200 measurements per device.",0,0,0,0,0,0,0,0,0,0,0,
4,"Performance of the osmometers was determined by specificity, estimated by the percentage of osmolarity data at or below the clinical cutoff (308 mOsm/L) and precision, and represented by the standard deviation per subject.",0,0,0,0,0,0,0,0,0,0,1,
5,"In addition, to assess analytical performance, on each day of patient testing, standardized osmolarity quality control solutions (338 mOsm/L) were tested on the TearLab per manufacturer instructions.",0,0,0,0,0,0,0,0,0,0,0,
6,"i-Pen manufacturer instructions do not neither provide for, nor recommend quality control procedures.",0,0,0,0,0,0,0,0,0,0,0,
7,"The mean age of the 20 subjects was 27±8 years (range: 19–48 years, 16 females, four males).",0,0,0,1,0,0,0,0,0,0,1,Results
8,"Over 2 months of testing, the TearLab reported analytical performance on quality control solutions of 335.8±4.2 mOsm/L with a coefficient of variation of 1.3%.",0,0,0,0,0,0,0,0,0,0,0,
9,"In the subject cohort, 90.9% of TearLab measurements were in the normal range ≤308 mOsm/L.",0,0,0,0,0,0,0,0,0,0,0,
10,The i-Pen reported 37.5% of all measurements in the normal range.,0,0,0,0,0,0,0,0,0,0,0,
11,"The average intra-subject osmolarity of the TearLab was 295.4±8.6 mOsm/L, which was significantly lower and less variable than the i-Pen, which reported an average of 319.4±20.3 mOsm/L (<span class=""italic"">P</span>&lt;0.001).",0,0,0,0,0,0,0,0,0,0,0,
12,"When the measurements were grouped by subject, the TearLab accurately identified 100% of subjects as normal while the i-Pen accurately identified only 15% of subjects as normal.",0,0,0,0,0,0,0,0,0,0,0,
13,"In this randomized comparative study of two point-of-care osmometers among normal, healthy non-dry eye subjects, the TearLab Osmolarity System demonstrated accuracy, precision, and agreement with clinical interpretation in line with the manufacturer claims.",0,0,0,0,0,0,0,0,0,0,0,Conclusion
14,The i-Pen lacked sufficient performance to delineate subjects with and without dry eye disease.,0,0,0,0,0,0,0,0,0,0,0,
15,"Tear osmolarity is a physiological biomarker of ocular surface health and serves as a quantitative diagnostic for dry eye disease and its management.<a href=""#b1-opth-11-945"">1</a> Excess tear evaporation and/or decreased aqueous production results in abnormal tear osmolarity leading to tear instability and stress on the ocular surface.",0,0,0,0,0,0,0,0,0,0,0,Introduction
16,"This cascade of events includes inflammation, ocular surface damage, and symptoms of discomfort.<a href=""#b1-opth-11-945"">1</a>–<a href=""#b6-opth-11-945"">6</a> Tear osmolarity is maintained through homeostatic, compensatory mechanisms in healthy subjects.<a href=""#b7-opth-11-945"">7</a>,<a href=""#b8-opth-11-945"">8</a> In dry eye disease, this homeostasis is lost, resulting in increased osmolarity and tear instability.<a href=""#b9-opth-11-945"">9</a>–<a href=""#b12-opth-11-945"">12",0,0,0,0,0,0,0,0,0,0,0,
17,"Measurement of tear osmolarity has historically required a large volume tear sample collection from the human eye, and thus early laboratory osmometers proved impractical for use at the point-of-care, in a clinical setting.",0,0,0,0,0,0,0,0,0,0,0,
18,Recent advances in technology have resulted in devices (TearLab and i-Pen) that both measure tear osmolarity at the point-of-care by measuring the electrical impedance of nanoliter samples of tear fluid.,0,0,0,0,0,0,0,0,0,0,0,
19,"The TearLab Osmolarity System (TearLab) was broadly commercialized in 2012,<a href=""#b13-opth-11-945"">13</a> with numerous studies having been published on the utility of TearLab osmolarity measurements in the diagnosis, grading of severity, and therapy tracking in dry eye disease as of the time of writing.<a href=""#b9-opth-11-945"">9</a>,<a href=""#b14-opth-11-945"">14</a>–<a href=""#b16-opth-11-945"">16",0,0,0,0,0,0,0,0,0,0,0,
20,"More recently, the I-Med i-Pen (i-Pen) has become available in Canada.<a href=""#b17-opth-11-945"">17</a> The i-Pen measures tear osmolarity via electrical impedance of the ocular tissues on the palpebral conjunctival membrane.<a href=""#b18-opth-11-945"">18</a> Its utility has been questioned in the literature, as in vitro data suggest that the i-Pen provides insufficient performance to accurately and precisely delineate osmolarity levels in the physiological range.<a href=""#b19-opth-11-945"">19</a> However, no data on the precision or performance of the device when testing tear fluid of human subjects, as per device labeling, is available in the peer-reviewed literature, and it may be that the technical implementation of the previous study did not accurately reflect the operative mechanism of the i-Pen device.",0,0,0,0,0,0,0,0,0,0,0,
21,"It is well known that tear osmolarity varies with high temporal frequency in patients with dry eye disease, with the variability increasing with increasing severity of disease.<a href=""#b12-opth-11-945"">12</a>,<a href=""#b20-opth-11-945"">20</a> This is contrasted by very stable readings in normal subjects, both diurnally and over successive days.<a href=""#b12-opth-11-945"">12</a>,<a href=""#b21-opth-11-945"">21</a> As the i-Pen instructions for use do not provide for a method to perform quality control testing on laboratory standards, the only available method to evaluate device precision consistent with manufacturer instructions is to reproduce the expected range of osmolarity in a normal population.",0,0,0,0,0,0,0,0,0,0,0,
22,"This is known as a biological control, which is an accepted approach to establish performance under Clinical and Laboratory Standards Institute guidelines.<a href=""#b22-opth-11-945"">22",0,0,0,0,0,0,0,0,0,0,0,
23,"The objective of this study was to compare the performance of the two osmometers in a healthy, normal human population, according to the manufacturers’ intended use statements.",0,0,0,0,0,0,0,0,0,0,0,
24,"Non-dry eye subjects are likely to have a low, stable tear osmolarity, as previous reports suggest that there is minimal change in tear osmolarity over time in normals, given intact homeostatic mechanisms.<a href=""#b8-opth-11-945"">8</a>,<a href=""#b12-opth-11-945"">12</a> In this cohort, it is expected that variance between the two osmometers and deviation from the expected normal range (≤308 mOsm/L) would be attributed to analytical measurement errors, and not biological variations.<a href=""#b23-opth-11-945"">23",0,0,0,0,0,0,0,0,0,1,1,
25,"This prospective, device randomized, cross-sectional, single visit study included 20 asymptomatic subjects with no clinically evident dry eye disease or active ocular surface infection, allergy, or disease.",0,0,0,0,0,0,0,0,0,0,0,Methods
26,"Subjects were aged ≥18 years, were not using any ocular medications, and were non-contact lens wearers.",0,0,0,0,0,0,0,0,0,0,0,
27,"To be included in the study, each subject was required to have an Ocular Surface Disease Index (OSDI) symptom score of &lt;5, fluorescein tear breakup time &gt;10 seconds, and no fluorescein corneal staining.<a href=""#b1-opth-11-945"">1</a>,<a href=""#b24-opth-11-945"">24</a> This study was conducted under Chesapeake Research Review LLC IRB approval, adhered to the tenets of the Declaration of Helsinki, and subjects provided written informed consent before testing.",0,0,0,0,0,0,0,0,0,0,0,
28,"If the subject passed the inclusion criteria tests, five consecutive bilateral osmolarity measurements were made with each of the two osmometers by a trained technician according to the manufacturers’ instructions.",1,0,0,0,0,0,0,0,0,0,0,
29,The order of testing was randomized to the osmometers and to the eye initially tested for each subject.,0,1,0,0,0,0,0,0,0,0,0,
30,All testing was completed with a single osmometer type before switching to the alternative osmometer.,0,0,0,0,0,0,0,0,0,0,0,
31,A new disposable Test Card (TearLab) or Single Use Sensor or (SUS; i-Pen) was used for every measurement.,0,0,0,0,0,0,0,0,0,0,0,
32,"The TearLab consists of two collection pens, one for right and other for left eye tear collection, a reader into which the collection pens are docked and single-use disposable Test Cards.",0,0,0,0,0,0,0,0,0,0,0,
33,"The TearLab uses a temperature compensated impedance to measure tear osmolarity on a 50 nL tear fluid sample collected from the lower tear meniscus of the human eye.<a href=""#b25-opth-11-945"">25</a> The i-Pen consists of an SUS inserted into a handheld pen that analyzes tear osmolarity by pressing the tip of the SUS onto the lower, retracted conjunctiva.",0,0,0,0,0,0,0,0,0,0,0,
34,"The manufacturer states that it measures impedance of the extracellular fluid contained in the eyelid tissue.<a href=""#b18-opth-11-945"">18</a> On each day of study testing, the analytical performance of the TearLab was measured using National Institute of Standards and Technology traceable sodium chloride osmolarity quality control solution with a target of 338 mOsm/L, per the manufacturer’s Quality Control (QC) Guidelines.<a href=""#b25-opth-11-945"">25</a> No quality control or calibration procedures are neither provided for nor recommended as per the i-Pen’s labeling, and thus QC testing on the i-Pen was not performed.",0,0,0,0,0,0,0,0,0,0,0,
35,Data were tested for normality prior to comparison using the Kolmogorov–Smirnov test.,0,0,0,0,0,0,0,0,0,0,0,
36,"Accordingly, descriptive statistics, including mean, standard deviation, and distributions, were calculated across devices as well as per subject in Microsoft Excel.",0,0,0,0,0,0,0,0,0,0,1,
37,"As this was a non-dry eye cohort, by broadly accepted clinical standards, the ability of each device to correctly identify the absence of dry eye disease (specificity; defined by osmolarity ≤308 mOsm/L) was compared as a percentage of all tests for each of the two devices and on a per subject basis.",0,0,0,0,0,0,0,0,0,0,0,
38,We calculated a sample size of 20 subjects which provides 90% power with alpha error of 0.05 to detect a difference of 10 mOsm/L between the two osmometers with a standard deviation of 9 mOsm/L.,0,0,0,0,0,0,0,0,0,0,1,
39,"The standard deviation of 9 mOsm/L was chosen based on the report in the literature on standard deviation of osmolarity among a population of non-dry eye subjects.<a href=""#b10-opth-11-945"">10",0,0,0,0,0,0,0,0,0,0,1,
40,"Analytical data from testing quality control materials on the TearLab were measured on 11 clinic days that spanned a little over 2 months (October 4 to December 14, 2016).",0,0,0,0,0,0,0,0,0,0,0,Results
41,"The mean of these 24 data points was 335.8±4.2 mOsm/L, corresponding to an accuracy of 99.4% and a coefficient of variation (CV) of 1.3%, which was consistent with the device labeling of 1.5% CV.<a href=""#b13-opth-11-945"">13</a> The average deviation from the target osmolarity of 338 mOsm/L was 2.2±4.2 mOsm/L with a range from −7 to +8 mOsm/L.",0,0,0,0,0,0,0,0,0,0,1,
42,About 100% of TearLab measurements were within 10 mOsm/L of the target osmolarity.,0,0,0,0,0,0,0,0,0,0,0,
43,"The TearLab showed a normal distribution when measuring quality control material (<span class=""italic"">P</span>&gt;0.15).",0,0,0,0,0,0,0,0,0,0,0,
44,No quality control testing was performed on the i-Pen per the manufacturer’s instructions for use.,0,0,0,0,0,0,0,0,0,0,0,
45,The mean age of the 20 subjects was 27±8 years (range: 19–48 years) with 16 females and four males.,0,0,0,1,0,0,0,0,0,0,1,
46,"Unlike the analytical data, the human osmolarity data from both devices were not normally distributed (<span class=""italic"">P</span>&lt;0.01).",0,0,0,0,0,0,0,0,0,0,0,
47,"The distribution of osmolarity measurements using TearLab was heteroscedastic with a long hyperosmolar tail, and a median value of 294 mOsm/L (<a href=""#f1-opth-11-945"">Figure 1</a>).",0,0,0,0,0,0,0,0,0,0,0,
48,About 90.9% of all TearLab measurements were in the normal range of ≤308 mOsm/L.,0,0,0,0,0,0,0,0,0,0,0,
49,"One of 200 (0.51%) TearLab measurements was &gt;340 mOsm/L, indicating moderate dry eye disease.",0,0,0,0,0,0,0,0,0,0,0,
50,"The i-Pen osmolarity data were more uniformly distributed across the entire range of normal and abnormal human osmolarity (<a href=""#f2-opth-11-945"">Figure 2</a>), and thus were unable to differentiate this cohort of normal subjects from data frequently observed in moderate-to-severe dry eye patients.<a href=""#b24-opth-11-945"">24</a> The i-Pen reported a median osmolarity value of 321 mOsm/L for the normal subjects.",0,0,0,0,0,0,0,0,0,0,0,
51,"About 37.5% of all i-Pen measurements were in the normal range ≤308 mOsm/L, whereas 21% of the i-Pen values were &gt;340 mOsm/L.",0,0,0,0,0,0,0,0,0,0,0,
52,"When the measurements were grouped by subject, TearLab accurately identified 100% of subjects with no dry eye disease versus i-Pen, which accurately identified only 15% of subjects with no dry eye disease.",0,0,0,0,0,0,0,0,0,0,0,
53,"An example of data grouped by subject is shown in <a href=""#t1-opth-11-945"">Table 1</a>.",0,0,0,0,0,0,0,0,0,0,0,
54,"When using other published osmolarity cut-off values of &gt;312<a href=""#b26-opth-11-945"">26</a> and &gt;316 mOsm/L,<a href=""#b27-opth-11-945"">27</a> the i-Pen reported only 35% and 40% of these subjects to have no dry eye disease (<a href=""#t2-opth-11-945"">Table 2</a>).",0,0,0,0,0,0,0,0,0,0,0,
55,"As an estimate of precision, a box and whiskers plot (<a href=""#f3-opth-11-945"">Figure 3</a>) shows the range of TearLab measurements from the first quartile (Q1=289 mOsm/L) to third quartile (Q3=299 mOsm/L) was 10 mOsm/L.",0,0,0,0,0,0,0,0,0,0,0,
56,"The range of the i-Pen first quartile (Q1=298 mOsm/L) to third quartile (Q3=338 mOsm/L) was 40 mOsm/L, suggesting that the imprecision of i-Pen was roughly four times greater than that of the TearLab.",0,0,0,0,0,0,0,0,0,0,0,
57,"To assess precision independent of baseline differences, the data were also analyzed per subject (<a href=""#f4-opth-11-945"">Figures 4</a> and <a href=""#f5-opth-11-945"">5</a>).",0,0,0,1,0,0,0,0,0,0,0,
58,"The TearLab reported a significantly lower mean and average intra-subject variation (295.3±8.6 mOsm/L) when compared with the i-Pen (319.4±20.3 mOsm/L, <span class=""italic"">P</span>&lt;0.001).",0,0,0,0,0,0,0,0,0,0,1,
59,"No signifi-cant difference was measured between the average left and right eye measurements for both devices (<span class=""italic"">P</span>&gt;0.05).",0,0,0,0,0,0,0,0,0,0,0,
60,Our study results demonstrate a significant difference in two point-of-care osmometers with the TearLab providing accurate identification of normal tear films while the i-Pen did not.,0,0,0,0,0,0,0,0,0,0,0,Discussion
61,"The TearLab results are congruent with previous literature that reported specificities of 90.0%–92.0% for TearLab.<a href=""#b10-opth-11-945"">10</a>,<a href=""#b15-opth-11-945"">15</a> Historical meta-analyses of tear osmolarity using laboratory-based freezing point osmometers report specificities of upward of 94% for the marker as a whole.<a href=""#b15-opth-11-945"">15</a> In normal subjects with a healthy lacrimal system, repeated testing has been shown to have little to no effect on the measured tear osmolarity.<a href=""#b12-opth-11-945"">12</a>,<a href=""#b28-opth-11-945"">28</a> Insofar that the recruited subjects are truly devoid of dry eye disease, an accurate osmometer is expected to report the majority of test results below the established cutoff for dry eye disease.",0,0,0,0,0,0,0,0,0,0,0,
62,"As such, the TearLab was able to reproduce the expected distribution of normal patients, with a few rare “outliers,” a phenomenon that has also been noted in other studies on tear osmolarity.<a href=""#b29-opth-11-945"">29",0,0,0,0,0,0,0,0,0,0,0,
63,“Outliers” tend to appear in subjects with undetected mild or early stage dry eye.,0,0,0,0,0,0,0,0,0,0,0,
64,"A case in point is subject #5, who displayed an outlier &gt;340 mOsm/L on the TearLab.",0,0,0,0,0,0,0,0,0,0,0,
65,"This subject stands out in <a href=""#f4-opth-11-945"">Figure 4</a> as being elevated and unstable when compared with the rest of the cohort.",0,0,0,0,0,0,0,0,0,0,0,
66,"In the first four pairs of osmolarity tests on subject #5 with the TearLab, each pair had ≥10 mOsm/L inter-eye difference, indicating a loss of homeostasis of the tear film and an early sign of dry eye,<a href=""#b10-opth-11-945"">10</a> as well as a reading of 337 mOsm/L in the second pair of tests.",0,0,0,0,0,0,0,0,0,0,0,
67,"Taken together, these data are strongly indicative of early stage dry eye that was otherwise undetectable with standard clinical tests such as fluorescein staining and symptom assessment.",0,0,0,0,0,0,0,0,0,0,1,
68,"Szczesna-Iskander et al<a href=""#b29-opth-11-945"">29</a> and Bunya et al,<a href=""#b30-opth-11-945"">30</a> two studies which also report “outliers” using the TearLab, recruited cohorts that included mild dry eye subjects.",0,0,0,0,0,0,0,0,0,0,0,
69,"Nine of 19 subjects in the study by Szczesna-Iskander et al reported an OSDI ≥7.5, with a range as high as 54.2, whereas Bunya noted that,",0,0,0,0,0,0,0,0,0,0,0,
70,"It is also possible that some of our control participants had undiagnosed asymptomatic dry eye … some control participants had minimal positive examination findings.<a href=""#b30-opth-11-945"">30",0,0,0,0,0,0,0,0,0,0,0,
71,"This, of course, is one of the benefits of measuring tear osmolarity, in that it is frequently more sensitive than clinical observation and other available tests of ocular surface inflammation.<a href=""#b10-opth-11-945"">10</a>,<a href=""#b26-opth-11-945"">26</a> As there was no evidence of analytical outliers from the TearLab in this study, we can only surmise that the elevated values measured on the TearLab both in this study and others are an essential aspect of tear osmolarity in early stage or mild dry eye.",0,0,0,0,0,0,0,0,0,0,0,
72,"In other words, rather than being outliers, these data points are important signals that indicate an unstable ocular surface before traditional clinical signs have revealed the disease.",0,0,0,0,0,0,0,0,0,0,0,
73,"This also means that, even if a perfectly accurate and precise osmometer existed, the specificity of tear osmolarity would be limited to the 90% range that is reported elsewhere due to the inherent nature of the marker.<a href=""#b10-opth-11-945"">10</a>,<a href=""#b29-opth-11-945"">29</a>,<a href=""#b30-opth-11-945"">30",0,0,0,0,0,0,0,0,0,0,0,
74,"By contrast, the i-Pen was unable to reproduce the expected range of normal values, reporting random values across the clinically relevant range of tear osmolarity.",0,0,0,0,0,0,0,0,0,0,0,
75,"As evidenced in <a href=""#f2-opth-11-945"">Figure 2</a>, the i-Pen reported an equivalent chance of measuring 345 mOsm/L as it did 295 mOsm/L in normal eyes.",0,0,0,0,0,0,0,0,0,0,0,
76,"In this context, the specificity of the i-Pen would not be consistent with historical meta-analyses of osmolarity as a biomarker of dry eye, as determined by other non-impedance-based methods of osmometry.<a href=""#b15-opth-11-945"">15</a> The i-Pen identified the majority of the healthy, non-dry eye cohort in this study as having moderate-to-severe dry eye disease.",0,0,0,0,0,0,0,0,0,0,0,
77,"The results of this study reinforce a recent laboratory analysis of the TearLab and i-Pen.<a href=""#b19-opth-11-945"">19</a> The data published by Rocha et al reported an average analytical CV of 1.6% for TearLab, which is essentially equivalent to the 1.3% CV for TearLab found in this study.",0,0,0,0,0,0,0,0,0,1,0,
78,"Similarly, Rocha et al reported an average 6.3% CV for i-Pen when measuring contrived tears; a 3.94-fold increase in variation over TearLab.",0,0,0,0,0,0,0,0,0,0,0,
79,"Our results mimic this, showing a fourfold increase of clinical interquartile range of the i-Pen compared to the TearLab.",0,0,0,0,0,0,0,0,0,0,0,
