Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,We examined selective laser trabeculoplasty (SLT) as a replacement therapy for medically controlled open‐angle glaucoma (OAG) or ocular hypertensive patients.,0,0,0,0,0,0,0,0,0,0,0
1,A prospective randomized interventional clinical trial on 143 glaucoma patients.,0,0,0,0,0,0,0,0,0,0,0
2,Patients were randomized to either receiving SLT or to the control group that continued on pressure lowering medication.,0,0,0,0,0,0,0,0,0,0,0
3,"Data were recorded 1 hr, 1 week, 1, 3, 6, 12 and 18 months after SLT.",0,0,0,0,0,0,0,0,0,0,0
4,Primary outcome was number of medications at 12 and 18 months while maintaining a predetermined target intraocular pressure (IOP).,0,0,0,0,0,0,0,0,0,0,0
5,"Selective laser trabeculoplasty (SLT) reduced number of medications from a mean of 1.5 at baseline, to 0.35 after 12 months and 0.29 after 18 months.",0,0,0,1,0,0,0,0,0,0,1
6,"Meanwhile, SLT achieved more than 20% IOP lowering in 95% of eyes and more than 30% IOP lowering in 86% of eyes after 18 months.",0,0,0,0,0,0,0,0,0,0,0
7,Seventy‐seven per cent of our eyes no longer needed any medication after SLT at 18 months.,0,0,0,0,0,0,0,0,0,0,0
8,Selective laser trabeculoplasty (SLT) enabled a reduction in number of medications while maintaining good IOP control.,0,0,0,0,0,0,0,0,0,0,0
9,Selective laser trabeculoplasty (SLT) was able to completely replace medical therapy in 77% of eyes after 18 months.,0,0,0,0,0,0,0,0,0,0,0
10,Selective laser trabeculoplasty (SLT) as replacement therapy may reduce local and systemic side‐effects and prevent adherence issues.,0,0,0,0,0,0,0,0,0,0,0
11,Glaucoma is the second main leading cause of blindness in the world and an extremely common disorder in the ageing Western population (Resnikoff et al.,0,0,0,0,0,0,0,0,0,0,0
12,"Currently, only lowering of the IOP has proven to delay disease onset and slow down its progression (Chauhan et al.",0,0,0,0,0,0,0,0,0,0,0
13,Ocular hypotensive drugs are typically the first line of therapy for glaucoma.,0,0,0,0,0,0,0,0,0,0,0
14,"However, decades of taking topical medications have a serious influence on quality of life (Odberg et al.",0,0,0,0,0,0,0,0,0,0,0
15,"A toxic effect on the anterior eye segment has been demonstrated for the preservative, most often benzalkonium chloride (Baudouin 2008; Terai et al.",0,0,0,0,0,0,0,0,0,0,0
16,"2011), as well as for the active components of the antiglaucoma drops (Terai et al.",0,0,0,0,0,0,0,0,0,0,0
17,"Local medications induce a range of complaints and signs such as burning, stinging, dry eye syndrome, conjunctival hyperaemia, foreign body sensation and tearing (Pisella et al.",0,0,0,0,0,0,0,0,0,0,0
18,These symptoms usually become worse in the long term (Nordstrom et al.,0,0,0,0,0,0,0,0,0,0,0
19,"On the other hand, adherence to therapy poses a problem in the treatment of glaucoma (Nordstrom et al.",0,0,0,0,0,0,0,0,0,0,0
20,"2007; de Castro & Mesquita 2009), as in all chronic diseases.",0,0,0,0,0,0,0,0,0,0,0
21,"In the public hospital where this study was run, questionable adherence to topical medication formed the immediate impulse to look for an alternative treatment.",0,0,0,0,0,0,0,0,0,0,0
22,Selective laser trabeculoplasty (SLT) has proven to be a valid alternative to medication as first‐line therapy for both glaucoma and ocular hypertension (Li et al.,0,0,0,0,0,0,0,0,0,0,0
23,The use of laser instead of medical therapy bypasses non‐adherence (Pisella et al.,0,0,0,0,0,0,0,0,0,0,0
24,2005) and can diminish costs (Cantor et al.,0,0,0,0,0,0,0,0,0,0,0
25,2008) and side‐effects of antiglaucoma drops by lowering or avoiding the need for topical medication (Fechtner et al.,0,0,0,0,0,0,0,0,0,0,0
26,We hypothesize that treatment with SLT can replace topical medication while maintaining IOP control.,0,0,0,0,0,0,0,0,0,0,0
27,"To the best of our knowledge, this is the first prospective randomized clinical trial examining the replacement of medication by SLT.",0,0,0,0,0,0,0,0,0,0,0
28,"This is a prospective randomized interventional trial including 286 eyes of 143 consecutive patients at the glaucoma consultation of ZNA Jan Palfijn Hospital, Merksem, Belgium.",0,0,0,0,0,0,0,0,0,0,0
29,Enrolment of subjects occurred from January 2014 to July 2015.,0,0,0,0,0,0,0,0,0,0,0
30,Approval of the Ethics Committee of ZNA was obtained (EC 4313); we followed the Tenets of the Declaration of Helsinki.,0,0,0,0,0,0,0,0,0,0,0
31,"Data were recorded at baseline, at 1 hr, 1 week, 1, 3, 6, 12 and 18 months post‐SLT.",0,0,0,1,0,0,0,0,0,0,0
32,Investigators and patients were not masked to treatment allocation due to the nature of the treatments.,0,0,1,0,0,0,0,0,0,0,0
33,Inclusion criteria concerned primary open‐angle glaucoma (POAG) or ocular hypertension (OHT) controlled with medical therapy.,1,0,0,0,0,0,0,0,0,0,0
34,Patients had to agree to sign an informed consent form.,0,0,0,0,0,0,0,0,0,0,0
35,"Exclusion criteria were other types of glaucoma than OAG, previous glaucoma surgery and previous laser trabeculoplasty.",1,0,0,0,0,0,0,0,0,0,0
36,Patients with corneal disease that inhibited good visualization of the trabecular meshwork and those taking systemic steroids were also excluded from the study.,0,0,0,0,0,0,0,0,0,0,0
37,"Randomization of patient allocation was performed with a computer‐generated allocation schedule using a blocked allocation sequence of six possibilities per block (SLT or control, steroids in the right or the left eye after SLT, non‐steroidal anti‐inflammatory drops in the right or the left eye after SLT).",0,1,1,0,0,0,0,0,0,0,0
38,"Patients were consecutively introduced into the study; only after introduction of the personal patient data, the allocated group became clear to patient and observer.",0,0,0,0,0,0,0,0,0,0,0
39,"In the SLT group, if both eyes received SLT, the right eye was treated first.",0,0,0,0,0,0,0,0,0,0,0
40,"The study was not designed to create additional IOP lowering, because IOP was already controlled with medication before treatment with SLT.",0,0,0,0,0,0,0,0,0,0,0
41,The main goal of this study involved changes in the number of medications.,0,0,0,0,0,0,0,0,0,0,0
42,"At baseline, a full ophthalmological examination of each study participant was conducted, including a medical history review.",0,0,0,1,0,0,0,0,0,0,0
43,"Patients were also asked if they had any of these risk factors: myopia, hypertension, diabetes, migraine, vascular problems or a family history of glaucoma.",0,0,0,0,0,0,0,0,0,0,0
