Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,We evaluated whether transcranial direct current stimulation (tDCS) is able to enhance dysphagia rehabilitation following stroke.,0,0,N,0,0,N,0,0,0,0,0
1,"Besides relating clinical effects with neuroplastic changes in cortical swallowing processing, we aimed to identify factors influencing treatment success.",0,0,N,0,0,N,0,0,0,0,0
2,"In this double‐blind, randomized study, 60 acute dysphagic stroke patients received contralesional anodal (1mA, 20 minutes) or sham tDCS on 4 consecutive days.",0,0,N,0,0,N,0,0,0,0,0
3,Swallowing function was thoroughly assessed before and after the intervention using the validated Fiberoptic Endoscopic Dysphagia Severity Scale (FEDSS) and clinical assessment.,0,0,N,0,0,N,1,0,0,0,0
4,"In 10 patients, swallowing‐related brain activation was recorded applying magnetoencephalography before and after the intervention.",0,0,N,0,0,N,0,0,0,0,0
5,Voxel‐based statistical lesion pattern analysis was also performed.,0,0,N,0,0,N,0,0,0,0,0
6,"Study groups did not differ according to demographic data, stroke characteristics, or baseline dysphagia severity.",0,0,N,0,0,N,0,0,0,0,0
7,"Patients treated with tDCS showed greater improvement in FEDSS than the sham group (1.3 vs 0.4 points, mean difference = 0.9, 95% confidence interval [CI] = 0.4–1.4, p < 0.0005).",0,0,N,0,0,N,0,0,0,0,0
8,Functional recovery was accompanied by a significant increase of activation (p < 0.05) in the contralesional swallowing network after real but not sham tDCS.,0,0,N,0,0,N,0,0,0,0,0
9,"Regarding predictors of treatment success, for every hour earlier that treatment was initiated, there was greater improvement on the FEDSS (adjusted odds ratio = 0.99, 95% CI = 0.98–1.00, p < 0.05) in multivariate analysis.",0,0,N,0,0,N,0,0,0,0,0
10,Stroke location in the right insula and operculum was indicative of worse response to tDCS (p < 0.05).,0,0,N,0,0,N,0,0,0,0,0
11,"Application of tDCS over the contralesional swallowing motor cortex supports swallowing network reorganization, thereby leading to faster rehabilitation of acute poststroke dysphagia.",0,0,N,0,0,N,0,0,0,0,0
12,Early treatment initiation seems beneficial.,0,0,N,0,0,N,0,0,0,0,0
13,tDCS may be less effective in right‐hemispheric insulo‐opercular stroke.,0,0,N,0,0,N,0,0,0,0,0
14,Swallowing is a complex sensorimotor function requiring appropriate interaction within a bilateral and widely distributed neuronal network.,0,0,N,0,0,N,0,0,0,0,0
15,"Oropharyngeal dysphagia (OD) is a frequent (20–81%) complaint following stroke, which causes severe complications such as dehydration, malnutrition, and aspiration pneumonia.",0,0,N,0,0,N,0,0,0,0,0
16,"Despite considerable efforts in dysphagia care, conventional rehabilitation practices lack robust evidence to improve swallowing function or to decrease associated complications.",0,0,N,0,0,N,0,0,0,0,0
17,Spontaneous recovery of poststroke OD has been related to compensatory changes in swallow‐relevant areas of the undamaged hemisphere with enhanced cortical excitability and enlarged motor representation as surrogate of cortical plasticity.,0,0,N,0,0,N,0,0,0,0,0
18,"Given this natural ability of the brain to reorganize, there is increasing interest in the therapeutic potential of neuromodulation to treat OD.",0,0,N,0,0,N,1,0,1,0,0
19,Transcranial direct current stimulation (tDCS) promotes brain plasticity by tonic stimulation with weak direct currents.,0,0,N,0,0,N,0,0,0,0,0
20,Jefferson et al provided the first evidence that anodal tDCS is able to excite the pharyngeal motor cortex.,0,0,N,0,0,N,0,0,0,0,0
21,"In a double‐blind, sham‐controlled, magnetoencephalography (MEG) study, we previously demonstrated that anodal tDCS applied over the swallowing motor cortex of either hemisphere increases bilateral swallow‐related cortical activation in a frequency‐specific manner.",0,0,N,0,0,N,0,0,0,0,0
22,Excitability changes were associated with behavioral gains during complex swallow tasks in healthy individuals.,0,0,N,0,0,N,0,0,0,0,0
23,"In a clinical pilot study on 14 (sub‐)acute dysphagic stroke patients, application of contralesional tDCS (anodal, 2mA, 30 minutes, 5 days) combined with swallowing exercise resulted in greater improvement on the Dysphagia Outcome and Severity Scale (DOSS) than sham stimulation paired with swallowing training.",0,0,N,0,0,N,0,0,0,0,0
24,"In a postacute stroke study (N = 16), ipsilesional tDCS (anodal, 2mA, 20 minutes, 10 days) failed to have an immediate effect.",0,0,N,0,0,N,0,0,0,0,0
25,"After 3 months, results on the Functional Dysphagia Scale were in favor of the treatment group.",0,0,N,0,0,N,0,0,0,0,0
26,"Applying the same stimulation parameters to chronic stroke patients (N = 20), Shigematsu et al demonstrated that DOSS improved immediately and differences between groups persisted after 1 month.",0,0,N,0,0,N,0,0,0,0,0
27,"Despite promising results, major limitations have been identified in the majority of studies conducted so far, including the use of subjective clinical outcome measures, patient variability with substantial heterogeneity of lesion location, and small sample size, making it difficult to assess whether the reported effects are statistically sufficiently powered.",0,0,N,0,0,N,0,0,0,0,0
28,Low numbers also precluded identification of factors influencing treatment response.,0,0,N,0,0,N,0,0,0,0,0
29,"Moreover, it is unclear whether stimulation should be provided as an intervention on its own or in parallel with conventional exercises.",0,0,N,0,0,N,0,0,0,0,0
30,"To contribute robust evidence to the value of tDCS in dysphagia rehabilitation and overcome some limitations of previous studies, we evaluated the efficacy of a pathophysiologically reasonable tDCS protocol to improve stroke‐related OD, conducting a randomized controlled trial (RCT) in a sufficiently large patient sample with objective clinical outcome measures alongside functional neuroimaging.",0,0,N,0,0,N,0,0,0,0,0
31,"We also aimed to identify predictors of treatment success, which we hypothesized to be patient‐related (age, lesion location/size, stroke and OD severity) and/or treatment‐related (timing, tDCS + training vs tDCS alone).",0,0,N,0,0,N,0,0,0,0,0
32,"Between June 2012 and December 2014, patients from our stroke unit at the University Hospital Münster were recruited.",0,0,N,0,0,N,0,0,0,0,0
33,"According to our in‐house guidelines, every patient received a standardized swallowing assessment, and those who failed were referred to fiberoptic endoscopic evaluation of swallowing (FEES).",0,0,N,0,0,N,0,0,0,0,0
34,"Patients older than 18 years were eligible to be included in the study >24 hours from stroke onset if diagnosed with dysphagia due to acute ischemic stroke, confirmed by brain imaging.",0,0,N,0,0,N,0,0,0,0,0
35,There were no restrictions regarding size and site of infarction as long as there was no hemorrhagic transformation or significant brain edema.,0,0,N,0,0,N,0,0,0,0,0
36,"No further strict restrictions, for example, regarding stroke severity as measured by the National Institutes of Health Stroke Scale (NIH‐SS) or type of acute stroke treatment, were made to recruit a patient sample as representative as possible that would later enable us to assess patient‐related factors that may influence treatment response.",0,0,N,0,0,N,0,0,0,0,0
37,"Exclusion criteria were preexisting swallowing difficulties unrelated to stroke, history of seizures, previous or current need for skull surgery, metallic implants of any kind, presence of a tracheal cannula, unstable medical condition, and inability to stay alert and give informed consent.",0,0,N,0,0,N,0,0,0,0,0
38,All swallowing examinations within this study were conducted by a team of 2 of a pool of 4 experienced investigators.,0,0,N,0,0,N,0,0,0,0,0
39,"FEES was performed by a trained neurologist together with a speech language pathologist blinded to the patient's study group allocation in accordance with our protocol for dysphagia assessment in acute stroke, which had previously been developed and validated and is recommended for use on German stroke units.",0,0,N,0,0,N,0,0,0,0,0
40,"In brief, the secretion status is evaluated first.",0,0,N,0,0,N,0,0,0,0,0
41,"After that, the patient is successively given standard volumes of puree consistency, liquids, and soft solid food.",0,0,N,0,0,N,0,0,0,0,0
42,"According to the risk of penetration or aspiration of saliva and the different food consistencies observed in the endoscopic examination, stroke‐related dysphagia is classified on the 6‐point Fiberoptic Endoscopic Dysphagia Severity Scale (FEDSS) with 1 scoring best and 6 being worst.",0,0,N,0,0,N,0,0,0,0,0
43,"Moreover, feeding status was rated using the clinical Dysphagia Severity Rating Scale (DSRS; ranging from 0 [normal fluids, normal diet, and eating independently] to 12 [no oral fluids, no oral feeding]), the Functional Oral Intake Scale (FOIS; ranging from 1 [nothing by mouth] to 7 [total oral diet with no restrictions]), and the “dysphagia limit” test, indicating the amount of water that can be swallowed without piecemeal deglutition or clinical signs of aspiration.",0,0,N,0,0,N,0,0,0,0,0
44,"To minimize patient risk, dysphagia limit was not tested in patients for whom it was regarded unsafe to swallow even minor amounts of water.",0,0,N,0,0,N,0,0,0,0,0
45,"Stimulation was delivered by a battery‐driven constant current stimulator (NeuroConn, Ilmenau, Germany) through a pair of conductive‐rubber electrodes in saline‐soaked sponges.",0,0,N,0,0,N,0,0,0,0,0
46,"As previously described, we positioned the center of the anode (5 × 7cm) approximately 3.5cm lateral and 1cm anterior to the vertex with its long axis parallel to the central sulcus to cover the center of the motor cortical swallowing network.",0,0,N,0,0,N,0,0,0,0,0
47,"Because dysphagia recovery following stroke relates to neuroplastic changes in the intact hemisphere, this was chosen in cortical stroke patients, whereas the right hemisphere was selected in case of brainstem stroke.",0,0,N,0,0,N,0,0,0,0,0
48,The rationale behind the latter was that right hemispheric lateralization of swallowing activation was found during early recovery from brainstem stroke.,0,0,N,0,0,N,0,0,0,0,0
49,The reference electrode had a larger size of 10 × 10cm to diminish its functional effect and was placed over the contralateral orbit.,0,0,N,0,0,N,0,0,0,0,0
50,"Anodal tDCS was performed at 1mA for 20 minutes, once daily on 4 consecutive days.",0,0,N,0,0,N,0,0,0,0,0
51,These stimulation parameters had previously shown the optimal effect on pharyngeal motor cortex excitability and proved to be effective in our preceding MEG study on healthy individuals.,0,0,N,0,0,N,0,0,0,0,0
52,"In the sham condition, stimulation lasted for only 30 seconds with the electrodes left in place for a further 20 minutes.",0,0,N,0,0,N,0,0,0,0,0
53,"In any case, current was gradually ramped up and down over 30 seconds at the beginning and end of stimulation.",0,0,N,0,0,N,0,0,0,0,0
54,This procedure mimics the transient skin sensation of real tDCS without producing any sustainable effects.,0,0,N,0,0,N,0,0,0,0,0
55,It is known to provide a reliable sham condition in naive subjects.,0,0,N,0,0,N,0,0,0,0,0
56,"If the patient's condition allowed, swallowing exercises (dry swallows, effortful swallows, administration of fluids or pudding, depending on the patient's swallowing abilities) were performed during stimulation.",0,0,N,0,0,N,0,0,0,0,0
57,Patients not able to perform any swallowing exercises were asked to stay relaxed with their eyes open.,0,0,N,0,0,N,0,0,0,0,0
58,Whether swallowing training was performed during tDCS was documented.,0,0,N,0,0,N,0,0,0,0,0
59,Study Outline and Outcome Parameters,0,0,N,0,0,N,0,0,0,0,0
60,Dysphagic patients fulfilling the inclusion criteria were randomly assigned 1:1 to receive either tDCS or sham stimulation using computer‐assisted randomization.,0,1,N,0,0,N,0,1,0,0,0
61,They received baseline evaluation of swallowing function as described above.,0,0,N,0,0,N,0,1,0,0,0
62,"Patients able to participate in a MEG measurement (ie, in a stable medical condition without necessity of any monitoring or continuous medical care, able to sit upright for 15 minutes without relevant moving, and allowed to swallow minor amounts of water during the MEG paradigm) received baseline MEG measurement.",0,0,N,0,0,N,0,0,0,0,0
63,"Immediately afterward, the study intervention was started.",0,0,N,0,0,N,0,0,0,0,0
64,"After completion of the 4‐day study intervention phase, patients were reevaluated by clinical assessment, FEES, and MEG within 72 hours.",1,0,N,0,0,N,0,0,1,1,0
65,Primary endpoint was improvement on the FEDSS after 4 consecutive days of stimulation.,0,0,N,0,0,N,0,0,0,0,0
