Sentence-ID,Sentence-String,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Section
0,"Childhood apraxia of speech (CAS) affects a child's ability to produce sounds and syllables precisely and consistently, and to produce words and sentences with accuracy and correct speech rhythm.",0,0,0,0,0,0,0,0,0,0,0,Background
1,"It is a rare condition, affecting only 0.1% of the general population.",0,0,0,0,0,0,0,0,0,0,0,
2,Consensus has been reached that three core features have diagnostic validity: (1) inconsistent error production on both consonants and vowels across repeated productions of syllables or words; (2) lengthened and impaired coarticulatory transitions between sounds and syllables; and (3) inappropriate prosody (ASHA 2007).,0,0,0,0,0,0,0,0,0,0,1,
3,A deficit in motor programming or planning is thought to underlie the condition.,0,0,0,0,0,0,0,0,0,0,0,
4,This means that children know what they would like to say but there is a breakdown in the ability to programme or plan the fine and rapid movements required to accurately produce speech.,0,0,0,0,0,0,0,0,0,0,0,
5,"Children with CAS may also have impairments in one or more of the following areas: non‐speech oral motor function, dysarthria, language, phonological production impairment, phonemic awareness or metalinguistic skills and literacy, or combinations of these.",0,0,0,0,0,0,0,0,0,0,0,
6,High‐quality evidence from randomised controlled trials (RCTs) is lacking on interventions for CAS.,0,0,0,0,0,0,0,0,0,0,0,
7,To assess the efficacy of interventions targeting speech and language in children and adolescents with CAS as delivered by speech and language pathologists/therapists.,0,0,0,0,0,0,0,0,0,0,0,Objectives
8,"We searched CENTRAL, MEDLINE, Embase, eight other databases and seven trial registers up to April 2017.",0,0,0,0,0,0,0,0,0,0,0,Search methods
9,We searched the reference lists of included reports and requested information on unpublished trials from authors of published studies and other experts as well as information groups in the areas of speech and language therapy/pathology and linguistics.,0,0,0,0,0,0,0,0,0,0,0,
10,"RCTs and quasi‐RCTs of children aged 3 to 16 years with CAS diagnosed by a speech and language pathologist/therapist, grouped by treatment types.",0,0,0,0,0,0,0,0,0,0,0,Selection criteria
11,"Two review authors (FL, AM) independently assessed titles and abstracts identified from the searches and obtained full‐text reports of all potentially relevant articles and assessed these for eligibility.",1,0,0,0,0,0,0,0,0,0,0,Data collection and analysis
12,The same two authors extracted data and conducted the 'Risk of bias' and GRADE assessments.,0,0,0,0,0,0,0,0,0,0,0,
13,One review author (EM) tabulated findings from excluded observational studies (Table 1).,0,0,0,0,0,0,0,0,0,0,0,
14,"This review includes only one RCT, funded by the Australian Research Council; the University of Sydney International Development Fund; Douglas and Lola Douglas Scholarship on Child and Adolescent Health; Nadia Verrall Memorial Scholarship; and a James Kentley Memorial Fellowship.",0,0,0,0,0,0,0,0,0,0,0,Main results
15,"This study recruited 26 children aged 4 to 12 years, with mild to moderate CAS of unknown cause, and compared two interventions: the Nuffield Dyspraxia Programme‐3 (NDP‐3); and the Rapid Syllable Transitions Treatment (ReST).",0,0,0,0,0,0,0,0,0,0,0,
16,Children were allocated randomly to one of the two treatments.,0,1,0,0,0,0,0,0,0,0,0,
